Frequency (Hz),Rel. amplitude (a.u.)
0.674180975,0.996248191
0.671171157,1
0.683374295,0.981324801
0.68028202,0.984805081
0.677217757,0.988078602
0.674180975,0.991179664
0.671171157,0.994130097
0.671171157,0.992516092
0.668188243,0.993373833
0.674180975,0.98266232
0.674180975,0.980770781
0.674180975,0.978909042
0.677217757,0.972732218
0.677217757,0.971055142
0.677217757,0.969544596
0.68028202,0.963890094
0.683374295,0.958497844
0.686494654,0.952771317
0.692821806,0.943704934
0.696029402,0.939219026
0.699266673,0.935012676
0.702534363,0.931024762
0.705832571,0.927175716
0.705832571,0.927689195
0.705832571,0.92818986
0.705832571,0.92921616
0.705832571,0.929659163
0.705832571,0.92996731
0.705832571,0.930094088
0.705832571,0.930053744
0.702534363,0.934234332
0.702534363,0.933906526
0.702534363,0.933419435
0.702534363,0.932783706
0.699266673,0.935416601
0.699266673,0.934372993
0.699266673,0.933251922
0.699266673,0.932054198
0.696029402,0.935115699
0.696029402,0.933772678
0.696029402,0.932376255
0.696029402,0.930940718
0.696029402,0.927971068
0.696029402,0.926443447
0.696029402,0.924898042
0.696029402,0.923350431
0.696029402,0.921813331
0.696029402,0.920302439
0.696029402,0.918842404
0.696029402,0.917467888
0.696029402,0.916213398
0.696029402,0.914138765
0.696029402,0.913352727
0.696029402,0.912757317
0.696029402,0.912376869
0.696029402,0.912199266
0.699266673,0.907996692
0.699266673,0.908162571
0.699266673,0.908409284
0.699266673,0.908693723
0.699266673,0.909179418
0.699266673,0.909304097
0.699266673,0.90928917
0.702534363,0.904854614
0.702534363,0.904444694
0.699266673,0.908080539
0.699266673,0.907335475
0.699266673,0.906442798
0.699266673,0.905412252
0.699266673,0.902981908
0.699266673,0.901660036
0.699266673,0.900307826
0.699266673,0.898943105
0.699266673,0.897580472
0.699266673,0.896237614
0.699266673,0.894932708
0.699266673,0.893669424
0.699266673,0.891271458
0.699266673,0.890142396
0.699266673,0.889082788
0.699266673,0.888111306
0.699266673,0.887219639
0.702534363,0.882282932
0.702534363,0.881523327
0.702534363,0.880838347
0.702534363,0.880258865
0.702534363,0.879497583
0.702534363,0.879280314
0.702534363,0.879148398
0.702534363,0.879097748
0.702534363,0.879156947
0.702534363,0.879304492
0.702534363,0.879525303
0.702534363,0.879776039
0.702534363,0.879988893
0.702534363,0.880242407
0.702534363,0.880247838
0.699266673,0.884252981
0.699266673,0.883994614
0.699266673,0.883573269
0.699266673,0.882992518
0.699266673,0.882256562
0.699266673,0.881389891
0.699266673,0.880416175
0.699266673,0.878212263
0.699266673,0.877031843
0.699266673,0.875837047
0.699266673,0.874650607
0.699266673,0.873487936
0.699266673,0.872363369
0.699266673,0.871297056
0.702534363,0.866256582
0.702534363,0.864470737
0.702534363,0.863659461
0.702534363,0.862904554
0.702534363,0.862214914
0.702534363,0.861571746
0.702534363,0.860954396
0.702534363,0.860366246
0.702534363,0.859810607
0.702534363,0.859290339
0.702534363,0.858331073
0.702534363,0.857852608
0.702534363,0.857357865
0.702534363,0.856855834
0.702534363,0.856351867
0.702534363,0.855846963
0.702534363,0.855319518
0.702534363,0.85473852
0.699266673,0.85744088
0.699266673,0.856753251
0.699266673,0.85603442
0.699266673,0.855262273
0.699266673,0.854426635
0.699266673,0.853531484
0.699266673,0.852593912
0.699266673,0.85162548
0.699266673,0.850628225
0.699266673,0.848553371
0.699266673,0.847502535
0.699266673,0.846463125
0.699266673,0.845447005
0.699266673,0.844462195
0.699266673,0.843530679
0.699266673,0.842680031
0.699266673,0.841938827
0.699266673,0.841303643
0.699266673,0.840310024
0.699266673,0.839980756
0.702534363,0.835882258
0.702534363,0.835818943
0.702534363,0.835858575
0.702534363,0.835958831
0.702534363,0.836089517
0.702534363,0.836243204
0.702534363,0.836423381
0.702534363,0.83673659
0.702534363,0.836782489
0.702534363,0.836729899
0.702534363,0.836563745
0.702534363,0.836320729
0.702534363,0.835981118
0.702534363,0.83553395
0.702534363,0.834966377
0.702534363,0.83429373
0.702534363,0.832749237
0.702534363,0.831912617
0.702534363,0.831027893
0.702534363,0.830109132
0.702534363,0.829169851
0.702534363,0.828224884
0.702534363,0.827281043
0.702534363,0.826342752
0.702534363,0.824508695
0.702534363,0.823628774
0.702534363,0.822781042
0.702534363,0.821961533
0.702534363,0.821175637
0.702534363,0.820435967
0.702534363,0.819764735
0.702534363,0.819149521
0.702534363,0.818575018
0.702534363,0.81753357
0.702534363,0.817104555
0.702534363,0.816757109
0.702534363,0.816462526
0.702534363,0.816185468
0.702534363,0.815900525
0.702534363,0.815607255
0.702534363,0.815311043
0.702534363,0.81501929
0.702534363,0.814302528
0.702534363,0.813836731
0.702534363,0.8133081
0.702534363,0.812732773
0.702534363,0.812112835
0.702534363,0.811439863
0.702534363,0.810704599
0.702534363,0.809918817
0.702534363,0.809101994
0.702534363,0.807422193
0.702534363,0.806571164
0.702534363,0.805720242
0.702534363,0.80488112
0.702534363,0.804060595
0.702534363,0.803259345
0.702534363,0.802479448
0.702534363,0.801729588
0.702534363,0.800357518
0.702534363,0.799744922
0.702534363,0.79917375
0.702534363,0.798638136
0.702534363,0.798152302
0.702534363,0.79772272
0.702534363,0.797362625
0.702534363,0.797064677
0.702534363,0.79680758
0.702534363,0.796368634
0.702534363,0.79618876
0.702534363,0.796049758
0.702534363,0.795931762
0.702534363,0.795814756
0.702534363,0.7956697
0.702534363,0.795487186
0.702534363,0.795269772
0.702534363,0.795525678
0.702534363,0.795966161
0.702534199,0.796337339
0.702534363,0.796639713
0.702534199,0.79687535
0.702534363,0.797058871
0.702534199,0.797192351
0.702534363,0.797281608
0.702534363,0.797328874
0.702534363,0.79717147
0.702534363,0.796002217
0.702534363,0.790224204
0.702534199,0.787391284
0.702534363,0.787037095
0.702534199,0.78712692
0.702534363,0.787052348
0.702534199,0.785562981
0.702534363,0.780784954
0.705832737,0.769132711
0.705832571,0.768158978
0.705832737,0.767386412
0.705832571,0.76533234
0.705832571,0.761447891
0.705832571,0.757549245
0.705832571,0.755476291
0.705832571,0.754862006
0.705832571,0.754403588
0.705832668,0.751188795
0.705832834,0.749446958
0.705832668,0.748599718
0.705832834,0.748264262
0.705832668,0.747796584
0.705832668,0.7452547
0.705832668,0.743838775
0.705832668,0.742823019
0.705832668,0.742082116
0.705832668,0.741368212
0.70583273,0.740470189
0.70583273,0.739399831
0.702534521,0.74185961
0.702534521,0.74069885
0.702534357,0.740429158
0.702534521,0.740223366
0.702534357,0.740050339
0.702534521,0.739957058
0.702534357,0.73996086
0.702534521,0.739950721
0.702534521,0.739805848
0.702534521,0.739116763
0.702534357,0.738507555
0.70583273,0.733994432
0.70583273,0.732226394
0.70583273,0.729685198
0.70583273,0.7265069
0.70583273,0.722886269
0.70583273,0.718789764
0.70583273,0.714038131
0.70583273,0.702440298
0.70583273,0.69646301
0.70583273,0.690917655
0.70583273,0.685792444
0.70583273,0.681055372
0.70583273,0.676776926
0.70583273,0.673226822
0.702534521,0.67371428
0.702534357,0.67184988
0.702534357,0.670044247
0.702534521,0.669731423
0.702534521,0.669645672
0.702534357,0.669684196
0.702534521,0.669729923
0.702534357,0.66970066
0.702534521,0.6695554
0.702534357,0.669295239
0.702534521,0.668949441
0.702534521,0.668026771
0.702534357,0.667477694
0.702534521,0.666914483
0.702534357,0.666369327
0.702534357,0.665889164
0.702534521,0.665481139
0.70583273,0.662041069
0.705832792,0.661722799
0.705832792,0.660981059
0.705832792,0.660538056
0.705832792,0.660048314
0.705832792,0.659466463
0.705832792,0.658754171
0.705832792,0.657850062
0.705832626,0.656687462
0.705832792,0.655292573
0.705832792,0.653711475
0.705832792,0.650023375
0.705832792,0.647869774
0.705832792,0.645530533
0.705832792,0.643128247
0.705832792,0.640760808
0.705832792,0.638536162
0.705832792,0.636504281
0.702534418,0.637695993
0.702534418,0.634966032
0.702534583,0.634042008
0.702534418,0.633416374
0.702534583,0.633043971
0.702534418,0.632863268
0.702534583,0.632806742
0.702534418,0.632805612
0.702534583,0.632796903
0.702534418,0.632719565
0.702534583,0.632119064
0.702534418,0.631538282
0.702534583,0.6307614
0.702534418,0.629805196
0.702534583,0.628653199
0.702534418,0.627314921
0.705832792,0.622866775
0.705832716,0.621221076
0.705832716,0.619518408
0.70583255,0.616182521
0.705832716,0.614527223
0.70583255,0.612854946
0.705832716,0.61122115
0.70583255,0.60969748
0.705832716,0.608280442
0.705832716,0.60690086
0.705832716,0.605448423
0.705832716,0.603933542
0.705832675,0.600953005
0.705832509,0.599550295
0.705832675,0.598148593
0.705832509,0.596733172
0.705832675,0.595346257
0.702534302,0.596847207
0.702534466,0.595725708
0.702534302,0.594823887
0.702534302,0.593586026
0.702534466,0.593223861
0.702534302,0.593019624
0.702534302,0.592949603
0.702534302,0.592958232
0.702534302,0.59296674
0.702534302,0.592894531
0.702534302,0.592665252
0.702534302,0.592214259
0.702534466,0.590367333
0.702534302,0.58887997
0.702534466,0.587011631
0.702534302,0.58484307
0.702534302,0.582387036
0.705832675,0.576892023
0.705832509,0.573843463
0.705832675,0.570694447
0.705832509,0.567654683
0.705832509,0.562321952
0.705832675,0.560003799
0.705832675,0.557895285
0.705832675,0.556151354
0.705832675,0.554817681
0.705832509,0.553842959
0.705832675,0.553110024
0.705832509,0.552563809
0.702534233,0.554496986
0.702534233,0.554362738
0.702534233,0.554290348
0.702534233,0.554271495
0.702534233,0.554254981
0.702534398,0.554243843
0.702534233,0.554238851
0.702534233,0.554238703
0.702534233,0.554239156
0.702534233,0.55424121
0.702534274,0.554249338
0.702534274,0.554268261
0.702534274,0.554291918
0.702534274,0.554316486
0.702534274,0.554329412
0.705832647,0.551731086
0.705832481,0.551670374
0.705832647,0.551558324
0.705832481,0.551311403
0.705832647,0.550871366
0.705832481,0.550255522
0.705832647,0.549459128
0.705832481,0.548489831
0.705832647,0.547241153
0.705832481,0.545683841
0.705832647,0.543846923
0.705832481,0.539627733
0.705832647,0.53734104
0.705832481,0.534954693
0.705832647,0.532545681
0.705832481,0.53020979
0.705832647,0.528060102
0.705832481,0.526135998
0.702534274,0.525584709
0.702534274,0.524484433
0.702534274,0.523676986
0.702534274,0.523143453
0.702534274,0.522832309
0.702534274,0.522680666
0.702534274,0.52262741
0.702534274,0.522626731
0.702534274,0.52263173
0.702534274,0.522506903
0.702534322,0.522324578
0.702534322,0.522047201
0.702534322,0.521659653
0.702534322,0.521168868
0.702534322,0.520584373
0.702534158,0.519918037
0.705832529,0.516748526
0.705832696,0.515037725
0.705832529,0.514039414
0.705832696,0.51298355
0.705832529,0.511886462
0.705832696,0.510759274
0.705832529,0.50958648
0.705832599,0.508341549
0.705832433,0.507040826
0.705832433,0.505692021
0.705832433,0.50297301
0.705832433,0.501638315
0.705832433,0.500330345
0.705832599,0.499033936
0.705832433,0.497762826
0.702534226,0.498884943
0.702534226,0.497796704
0.702534226,0.496890126
0.702534226,0.49612094
0.702534226,0.494956749
0.702534062,0.494574121
0.702534226,0.49433882
0.702534062,0.494225382
0.702534226,0.494188727
0.702534226,0.494193642
0.702534226,0.494213008
0.702534226,0.494212356
0.702534226,0.493948564
0.702534062,0.493602626
0.702534226,0.493107296
0.702534062,0.492469726
0.702534226,0.491686063
0.705832433,0.488425732
0.705832433,0.487236701
0.705832433,0.48585087
0.705832433,0.484351376
0.705832599,0.481314167
0.705832433,0.479765875
0.705832599,0.478211409
0.705832433,0.476696316
0.705832516,0.475295163
0.705832516,0.474040196
0.705832516,0.472917095
0.705832516,0.471899469
0.705832516,0.470982748
0.705832516,0.469512216
0.705832516,0.468948955
0.705832516,0.468477376
0.705832682,0.468079068
0.705832516,0.467726934
0.705832516,0.467420307
0.705832516,0.467160559
0.705832516,0.466950557
0.702534309,0.46897236
0.702534309,0.468742369
0.702534144,0.468686458
0.702534309,0.468677295
0.702534144,0.468710919
0.702534309,0.468775343
0.702534309,0.468860347
0.702534309,0.468946636
0.705832516,0.466818382
0.705832516,0.466705917
0.705832516,0.466475291
0.705832516,0.466070438
0.705832516,0.465487437
0.705832516,0.464695772
0.705832516,0.463650105
0.705832516,0.46235106
0.705832516,0.460789668
0.705832516,0.459019182
0.705832516,0.455119928
0.705832516,0.453096355
0.705832516,0.45109265
0.705832516,0.449152954
0.705832516,0.447344081
0.705832516,0.445736372
0.705832516,0.444366912
0.705832516,0.44320474
0.705832516,0.442226499
0.702534144,0.442902464
0.702534144,0.442493043
0.702534144,0.442235061
0.702534144,0.442077492
0.702534309,0.441985197
0.702534021,0.441937871
0.702534185,0.44192245
0.702534021,0.441922227
0.702534021,0.441895047
0.702534185,0.441852357
0.702534021,0.44179457
0.702534021,0.441714367
0.702534021,0.441594218
0.702534021,0.441412369
0.705832391,0.439123353
0.705832225,0.438851133
0.705832391,0.438560883
0.705832467,0.437811152
0.705832467,0.437270326
0.705832467,0.436606135
0.705832467,0.435850822
0.705832467,0.435011145
0.705832467,0.434069473
0.705832467,0.432978483
0.705832467,0.431744303
0.705832301,0.430387242
0.705832301,0.427500733
0.705832467,0.426055992
0.705832301,0.424632001
0.705832467,0.423264444
0.705832467,0.421985383
0.705832467,0.420852091
0.705832467,0.419897595
0.705832467,0.419119889
0.702534096,0.42048703
0.702534096,0.419744861
0.702534096,0.419562979
0.702534096,0.419482031
0.702534096,0.419465671
0.702534096,0.419477856
0.702534096,0.41948908
0.702534096,0.419482352
0.702534096,0.419432249
0.705832467,0.417144139
0.705832467,0.416847735
0.705832467,0.416502509
0.705832301,0.416090986
0.705832467,0.415618964
0.705832301,0.415067756
0.705832467,0.414475524
0.705832301,0.413875534
0.70583255,0.413244378
0.70583255,0.411863722
0.705832384,0.411106373
0.70583255,0.410345367
0.70583255,0.409586885
0.705832384,0.408833206
0.70583255,0.40807412
0.705832384,0.407277956
0.70583255,0.40645692
0.705832384,0.40563607
0.705832453,0.404122415
0.705832619,0.403412566
0.705832453,0.402698495
0.705832619,0.402012877
0.705832453,0.401398859
0.705832619,0.400877787
0.705832453,0.40045908
0.702534247,0.401995993
0.702534247,0.401716361
0.702534247,0.401381756
0.702534247,0.401328872
0.702534247,0.401333982
0.702534247,0.401370493
0.702534247,0.401416685
0.702534247,0.401462208
0.702534247,0.4014711
0.705832453,0.399534148
0.705832453,0.399358427
0.705832453,0.398662238
0.705832453,0.398143051
0.705832453,0.397459923
0.705832619,0.396587808
0.705832453,0.395544919
0.705832619,0.394333474
0.705832453,0.393041556
0.705832619,0.391682124
0.705832619,0.388793508
0.705832453,0.387296359
0.705832453,0.385848428
0.705832453,0.384518319
0.705832453,0.383319713
0.705832453,0.382266865
0.705832453,0.381304631
0.705832453,0.380470233
0.705832453,0.379780044
0.705832412,0.378881878
0.705832578,0.378601542
0.705832412,0.378382555
0.705832578,0.378212096
0.705832412,0.378112499
0.705832412,0.378065577
0.705832412,0.378054019
0.705832412,0.378059435
0.705832412,0.37807757
0.705832412,0.378130779
0.705832363,0.378148094
0.705832363,0.378149066
0.705832363,0.3781228
0.705832529,0.378076515
0.705832363,0.377995058
0.705832529,0.377853416
0.705832363,0.377603341
0.705832363,0.377275854
0.705832363,0.376464186
0.705832363,0.375946803
0.705832363,0.375291719
0.705832363,0.374464081
0.705832363,0.373517523
0.705832363,0.372518338
0.705832363,0.371505949
0.705832363,0.370472768
0.705832363,0.368304206
0.705832363,0.367234627
0.705832363,0.366259272
0.705832363,0.365409386
0.705832363,0.364662517
0.705832363,0.363987858
0.705832363,0.36339387
0.705832363,0.362904168
0.705832363,0.36254831
0.705832363,0.362147549
0.705832363,0.362038372
0.705832363,0.361968041
0.705832363,0.36193305
0.705832363,0.361930284
0.705832197,0.361941162
0.705832363,0.361950777
0.705832363,0.361955328
0.705832363,0.361916794
0.705832446,0.361853434
0.705832446,0.361736277
0.705832446,0.361569454
0.705832446,0.361359425
0.705832446,0.361114442
0.705832446,0.3608037
0.705832446,0.360431383
0.705832446,0.359962923
0.705832446,0.358755755
0.70583228,0.358077048
0.709161767,0.35566079
0.709161683,0.354881057
0.709161683,0.354009461
0.709161683,0.353067943
0.709161851,0.352083368
0.709161683,0.351105981
0.705832363,0.351816173
0.705832363,0.349997991
0.705832363,0.349141324
0.705832197,0.348360747
0.705832363,0.34768171
0.705832197,0.347123299
0.705832363,0.346680563
0.705832197,0.346325065
0.705832363,0.346064984
0.705832197,0.345890254
0.702533993,0.34740903
0.702534158,0.347428639
0.705832363,0.34584275
0.705832363,0.345877496
0.705832363,0.345891642
0.705832197,0.345861299
0.705832363,0.345759283
0.705832197,0.345576631
0.705832363,0.345314941
0.705832363,0.34450968
0.705832197,0.343963988
0.705832363,0.343329319
0.705832197,0.342666573
0.705832363,0.341966483
0.705832197,0.34121743
0.705832363,0.340400502
0.705832197,0.339567372
0.705832363,0.337922691
0.705832197,0.337157611
0.705832343,0.33641629
0.705832177,0.335723417
0.705832343,0.335061545
0.705832177,0.334460978
0.705832343,0.333946608
0.705832177,0.333502389
0.705832343,0.333123924
0.705832177,0.332776037
0.705832177,0.332197763
0.705832343,0.331996936
0.705832177,0.331850992
0.705832177,0.331742654
0.705832301,0.331660197
0.705832301,0.331604988
0.705832301,0.331582025
0.705832301,0.33159045
0.705832301,0.331663999
0.705832467,0.331714186
0.705832301,0.331758529
0.705832467,0.331788171
0.705832301,0.331784699
0.705832467,0.331740898
0.705832301,0.331626574
0.705832301,0.331451096
0.705832301,0.330831545
0.705832301,0.330361069
0.705832301,0.329767534
0.705832301,0.329075631
0.709161621,0.32676041
0.709161788,0.325933189
0.709161621,0.32504384
0.709161788,0.32409071
0.709161788,0.323113556
0.705832301,0.322710709
0.705832467,0.321824105
0.705832301,0.321000117
0.705832301,0.320246587
0.705832301,0.319585617
0.705832301,0.319011316
0.705832301,0.318535975
0.705832301,0.31815853
0.705832301,0.317872159
0.705832301,0.317513812
0.705832301,0.317427823
0.705832301,0.317385211
0.70583228,0.317380591
0.70583228,0.317402452
0.70583228,0.317436774
0.705832446,0.317474672
0.70583228,0.317502853
0.70583228,0.317500958
0.70583228,0.317454893
0.70583228,0.317361906
0.70583228,0.317227352
0.70583228,0.317060671
0.70583228,0.316820556
0.70583228,0.3165175
0.705832197,0.316122086
0.705832197,0.315654796
0.709161683,0.313090777
0.709161516,0.312453426
0.709161516,0.311725666
0.709161516,0.310931197
0.705832031,0.311552452
0.705832197,0.310740051
0.705832031,0.309946733
0.705832197,0.309171227
0.705832197,0.308424876
0.705832197,0.307096797
0.705832197,0.306556197
0.705832197,0.306103225
0.705832197,0.305719927
0.705832197,0.305402423
0.705832197,0.30516181
0.705832197,0.304996514
0.705832031,0.304896845
0.705832197,0.304839469
0.705832197,0.304817021
0.705832031,0.30483429
0.705832197,0.304858845
0.705832031,0.304881846
0.705832197,0.304886947
0.705832031,0.304881517
0.705832197,0.304854677
0.705832031,0.30481112
0.705832197,0.304727205
0.705832197,0.304381118
0.705832197,0.30412662
0.705832031,0.303827082
0.705832197,0.30347946
0.705832031,0.303060871
0.705832087,0.302548766
0.709161404,0.300552248
0.709161404,0.299950481
0.709161404,0.298677744
0.709161404,0.297989922
0.709161404,0.297271358
0.709161404,0.296540837
0.709161404,0.295835928
0.705831921,0.2965753
0.705832087,0.295962112
0.705831921,0.295405847
0.705831962,0.294884099
0.705831962,0.294029107
0.705832128,0.293716335
0.705831962,0.293479626
0.705832128,0.293294797
0.705831962,0.293166334
0.705832128,0.293095497
0.705831962,0.293072205
0.705832128,0.293085004
0.705831962,0.29312118
0.705831962,0.29321185
0.705832128,0.293252796
0.705831962,0.293262201
0.705831962,0.293233868
0.705831962,0.293151132
0.705831962,0.293005336
0.705831962,0.292803746
0.705831962,0.29253496
0.705831962,0.29176502
0.705831962,0.291286014
